record_id,pref_code,pref_name,area_code,area_name,facility_name,municipality,linkage_match_status,linkage_match_method,current_longitude,current_latitude,reference_status,reference_kind,reference_id,reference_name,reference_address,reference_longitude,reference_latitude,reference_area_code,distance_m,audit_status
R7-2104-28,21,岐阜県,2104,東濃,中部クリニック,恵那市,matched,normalized_exact,137.3951795179386,35.455873247553164,unique,診療所,2121602001337,中部クリニック,岐阜県恵那市長島町中野１２１４ー４１,137.395279,35.455934,2104,11.3,agree
R7-2104-29,21,岐阜県,2104,東濃,中津川市国民健康保険坂下診療所,中津川市,matched,normalized_exact,137.532505562837,35.57491224479704,unique,診療所,2121602009021,中津川市国民健康保険　坂下診療所,岐阜県中津川市坂下７２２番地１,137.532295,35.574896,2104,19.1,agree
R7-2104-30,21,岐阜県,2104,東濃,多治見クリニック,多治見市,matched,normalized_exact,137.11737750346634,35.334137799149026,unique,診療所,2121592001517,多治見クリニック,岐阜県多治見市音羽町,137.117388,35.334280,2104,15.8,agree
R7-2104-31,21,岐阜県,2104,東濃,中西ウィメンズクリニック,多治見市,matched,normalized_exact,137.1284193091361,35.33811957983911,unique,診療所,2121592001556,中西ウィメンズクリニック,岐阜県多治見市大正町１－４５,137.128218,35.338176,2104,19.3,agree
R7-2104-32,21,岐阜県,2104,東濃,浜田・浅井医院,多治見市,matched,normalized_exact,137.11262500273236,35.33332574836109,none,,,,,,,,,no_reference
R7-2104-33,21,岐阜県,2104,東濃,塚田レディースクリニック,瑞浪市,matched,normalized_exact,137.24348195460877,35.35979591359474,unique,診療所,2121592006259,塚田レディースクリニック,岐阜県瑞浪市北小田町２ー２９３,137.243280,35.359961,2104,25.9,agree
R7-2104-34,21,岐阜県,2104,東濃,多治見スマートクリニック,多治見市,unmatched,none,,,unique,診療所,2121592009320,多治見スマートクリニック,岐阜県多治見市住吉町７−２７−２７,137.121176,35.346834,2104,,missing_with_reference
R7-2105-14,21,岐阜県,2105,飛騨,高山赤十字病院,高山市,matched,normalized_exact,137.2543165023897,36.13693771716319,unique,病院,2111661000109,高山赤十字病院,岐阜県高山市天満町３ー１１,137.254406,36.137082,2105,17.9,agree
R7-2105-15,21,岐阜県,2105,飛騨,岐阜県厚生農業協同組合連合会飛騨医療センター久美愛厚生病院,高山市,matched,normalized_exact,137.23729501585495,36.16692181675954,unique,病院,2111661000108,岐阜県厚生農業協同組合連合会飛騨医療センター久美愛厚生病院,岐阜県高山市中切町１番地１,137.256863,36.153807,2105,2283.1,conflict
R7-2105-16,21,岐阜県,2105,飛騨,岐阜県立下呂温泉病院,下呂市,matched,normalized_exact,137.25252297158855,35.80818655114522,unique,病院,2111661008124,岐阜県立下呂温泉病院,岐阜県下呂市森２２１１,137.252970,35.808004,2105,45.1,agree
R7-2105-17,21,岐阜県,2105,飛騨,国民健康保険飛騨市民病院,飛騨市,matched,normalized_exact,137.30066378550333,36.33484273052894,unique,病院,2111661000139,国民健康保険飛騨市民病院,岐阜県飛騨市神岡町東町７２５番地,137.300550,36.334737,2105,15.6,agree
