record_id,area_code,facility_name,facility_name_normalized,municipality,match_status,match_method,reason_code,candidate_count,match_score,p04_feature_index,p04_name,p04_name_normalized,p04_category,p04_address,p04_municipality,p04_beds,longitude,latitude
R7-3303-20,3303,医療法人慶真会 大杉病院,慶真会大杉病院,高梁市,matched,normalized_exact,,1,,146271,医療法人　慶真会　大杉病院,慶真会大杉病院,1,高梁市柿木町２４,高梁市,53,133.61776277884397,34.79584297779172
R7-3303-21,3303,医療法人啓優会 こだま眼科,啓優会こだま眼科,新見市,matched,normalized_suffix,,1,,145029,こだま眼科,こだま眼科,2,新見市高尾２４５０‐２,新見市,7,133.4562585,34.98930305
R7-3303-22,3303,ふじかわ眼科高梁分院,ふじかわ眼科高梁分院,高梁市,matched,normalized_exact,,1,,146232,ふじかわ眼科高梁分院,ふじかわ眼科高梁分院,2,高梁市落合町阿部５９９－１,高梁市,6,133.59382904475436,34.77976122998387
R7-3304-14,3304,医療法人社団井口会総合病院落合病院,井口会総合病院落合病院,真庭市,unmatched,none,no_name_match,0,,,,,,,,,,
R7-3304-15,3304,社会医療法人緑壮会金田病院,緑壮会金田病院,真庭市,unmatched,none,no_name_match,0,,,,,,,,,,
R7-3304-16,3304,真庭市国民健康保険湯原温泉病院,真庭市国民健康保険湯原温泉病院,真庭市,matched,normalized_suffix,,1,,146166,湯原温泉病院,湯原温泉病院,1,真庭市下湯原５６番地,真庭市,105,133.7338765394542,35.187491127778664
R7-3304-17,3304,医療法人真庭慈風会　津山中央まにわ病院,真庭慈風会津山中央まにわ病院,真庭市,unmatched,none,no_name_match,0,,,,,,,,,,
R7-3304-18,3304,医療法人美甘会勝山病院,美甘会勝山病院,真庭市,unmatched,none,no_name_match,0,,,,,,,,,,
R7-3304-19,3304,まにわ整形外科クリニック,まにわ整形外科クリニック,真庭市,matched,normalized_exact,,1,,146122,まにわ整形外科クリニック,まにわ整形外科クリニック,2,真庭市目木１８８５番地１,真庭市,18,133.77448470817163,35.075934279830754
R7-3304-20,3304,河本医院,河本医院,真庭市,matched,normalized_exact,,1,,146168,河本医院,河本医院,2,真庭市下河内３１４－２,真庭市,1,133.782662405013,35.03622184731378
R7-3305-14,3305,一般財団法人津山慈風会津山中央病院,津山慈風会津山中央病院,津山市,matched,normalized_suffix,,1,,145402,津山中央病院,津山中央病院,1,津山市川崎１７５６,津山市,515,134.03979751317152,35.06503710184734
R7-3305-15,3305,医療法人平野同仁会 総合病院津山第一病院,平野同仁会総合病院津山第一病院,津山市,matched,normalized_suffix,,1,,145393,津山第一病院,津山第一病院,1,津山市中島４３８,津山市,199,133.96669919003713,35.05355958325807
R7-3305-16,3305,さとう記念病院,さとう記念病院,勝央町,matched,normalized_exact,,1,,146230,医療法人さとう記念病院,さとう記念病院,1,勝田郡勝央町黒土４５,勝央町,179,134.12754829568314,35.02818009635016
R7-3305-17,3305,医療法人社団和風会中島病院,和風会中島病院,津山市,unmatched,none,no_name_match,0,,,,,,,,,,
R7-3305-18,3305,一般財団法人共愛会 芳野病院,共愛会芳野病院,鏡野町,unmatched,none,no_name_match,0,,,,,,,,,,
R7-3305-19,3305,鏡野町国民健康保険病院,鏡野町国民健康保険病院,鏡野町,unmatched,none,no_name_match,0,,,,,,,,,,
R7-3305-20,3305,津山中央記念病院,津山中央記念病院,津山市,matched,normalized_exact,,1,,145359,津山中央記念病院,津山中央記念病院,1,津山市二階町７１,津山市,81,134.00132046826766,35.06109298749914
R7-3305-21,3305,医療法人美風会 美作中央病院,美風会美作中央病院,美作市,matched,normalized_suffix,,1,,145246,美作中央病院,美作中央病院,1,美作市明見357-1,美作市,110,134.1471889580961,35.01333984626283
R7-3305-22,3305,美作市立大原病院,美作市立大原病院,美作市,matched,normalized_exact,,1,,145270,美作市立大原病院,美作市立大原病院,1,美作市古町１７７１－９,美作市,80,134.32722483442527,35.11937912451867
R7-3305-23,3305,石川病院,石川病院,津山市,matched,normalized_exact,,1,,145398,石川病院,石川病院,1,津山市川崎５５４-５,津山市,68,134.0254151887542,35.06236570757295
R7-3305-24,3305,社会医療法人清風会日本原病院,清風会日本原病院,津山市,matched,normalized_suffix,,1,,145352,日本原病院,日本原病院,1,津山市日本原３５２,津山市,60,134.13187120182425,35.111329872629554
R7-3305-25,3305,医療法人晴顕会 大谷病院,晴顕会大谷病院,津山市,matched,normalized_exact,,1,,145375,医療法人晴顕会　大谷病院,晴顕会大谷病院,1,津山市田町３３番地,津山市,48,134.0016325737211,35.06374660552656
R7-3305-26,3305,医療法人三憲会 柵原病院,三憲会柵原病院,美咲町,matched,normalized_exact,,1,,146368,医療法人　三憲会　柵原病院,三憲会柵原病院,1,久米郡美咲町吉ヶ原９９２番地,美咲町,48,134.0719804406975,34.944958844815986
R7-3305-27,3305,医療法人三水会 田尻病院,三水会田尻病院,美作市,matched,normalized_exact,,1,,145245,医療法人三水会　田尻病院,三水会田尻病院,1,美作市明見５５０番地の１,美作市,63,134.1459033977889,35.01596368207768
R7-3305-28,3305,福田産婦人科医院,福田産婦人科医院,津山市,candidate_only,none,no_name_match,157,0.8571,145383,福田産婦人科,福田産婦人科,2,津山市田町１０５,津山市,19,,
R7-3305-29,3305,医療法人晴風会 三村医院,晴風会三村医院,津山市,matched,normalized_exact,,1,,145349,医療法人晴風会三村医院,晴風会三村医院,2,津山市北園町３５－５,津山市,19,134.0042324013442,35.07777813531673
R7-3305-30,3305,河原内科 松尾小児科クリニック,河原内科松尾小児科クリニック,津山市,matched,normalized_suffix,,1,,145357,医療法人ウナデ会河原内科松尾小児科クリニック,ウナデ会河原内科松尾小児科クリニック,2,津山市二宮２１３７－１０,津山市,19,133.967988877754,35.05897294879201
R7-3305-31,3305,小畑醫院,小畑醫院,津山市,matched,normalized_exact,,1,,144788,小畑醫院,小畑醫院,2,津山市大田452-6,津山市,19,134.0121811,35.09936717
R7-3305-32,3305,医療法人津山内田整形外科,津山内田整形外科,津山市,matched,normalized_exact,,1,,145390,医療法人　津山内田整形外科,津山内田整形外科,2,津山市津山口４９－１,津山市,19,133.98930625091705,35.056914934689466
R7-3305-33,3305,医療法人 豊医会 原医院,豊医会原医院,美作市,matched,normalized_exact,,1,,145249,医療法人　豊医会　原医院,豊医会原医院,2,美作市豊国原３６３－２,美作市,19,134.15982495199344,35.021026314241766
R7-3305-34,3305,赤堀クリニック,赤堀クリニック,津山市,unmatched,none,no_name_match,0,,,,,,,,,,
R7-3305-35,3305,医療法人万袋医院,万袋医院,津山市,matched,normalized_exact,,1,,145468,万袋医院,万袋医院,2,津山市加茂町中原３２,津山市,18,134.0516896552058,35.175862894419794
R7-3305-36,3305,医療法人鴻鵠会 岡外科胃腸肛門科,鴻鵠会岡外科胃腸肛門科,津山市,unmatched,none,no_name_match,0,,,,,,,,,,
R7-3305-37,3305,井戸内科クリニック,井戸内科クリニック,津山市,matched,normalized_exact,,1,,145446,井戸内科クリニック,井戸内科クリニック,2,津山市山下１０１,津山市,12,134.0040854436257,35.061533054832935
R7-3305-38,3305,只友医院,只友医院,津山市,matched,normalized_exact,,1,,145466,只友医院,只友医院,2,津山市加茂町塔中１０５,津山市,6,134.05419487527877,35.17855246602991
R7-3305-39,3305,西粟倉村国民健康保険診療所,西粟倉村国民健康保険診療所,西粟倉村,candidate_only,none,no_name_match,157,0.8182,145221,西粟倉村国保診療所,西粟倉村国保診療所,2,英田郡西粟倉村大字影石９０番地１,西粟倉村,6,,
R7-3401-14,3401,広島大学病院,広島大学病院,広島市南区,matched,normalized_exact,,1,,149734,広島大学病院,広島大学病院,1,広島市南区霞１－２－３,広島市南区,746,132.4792915483042,34.37999820792926
R7-3401-15,3401,地方独立行政法人 広島市立病院機構 広島市立広島市民病院,広島市立病院機構広島市立広島市民病院,広島市中区,matched,normalized_exact,,1,,150403,地方独立行政法人広島市立病院機構　広島市立広島市民病院,広島市立病院機構広島市立広島市民病院,1,広島市中区基町７－３３,広島市中区,743,132.45992494475303,34.39776320965017
R7-3401-16,3401,県立広島病院,県立広島病院,広島市南区,matched,normalized_exact,,1,,149782,県立広島病院,県立広島病院,1,広島市南区宇品神田１－５－５４,広島市南区,712,132.466647051817,34.367135095762414
R7-3401-17,3401,広島赤十字・原爆病院,広島赤十字原爆病院,広島市中区,matched,normalized_exact,,1,,150197,広島赤十字・原爆病院,広島赤十字原爆病院,1,広島市中区千田町一丁目９－６,広島市中区,565,132.45401665301947,34.38088788487372
