published_fy,pref_code,pref_name,area_code,area_name,population_2020,population_2020_source_value,population_2020_source_unit,area_2020_km2,outflow_rate,outflow_rate_source_value,inflow_rate,inflow_rate_source_value
R7,07,福島県,0707,いわき,332931,33.2931,万人,1232.02,0.09300000000000001,0.09300000000000001,0.094,0.094
R7,07,福島県,0708,会津・南会津,256403,25.6403,万人,5420.31,0.115,0.115,0.051,0.051
R7,08,茨城県,0801,水戸,457941,45.7941,万人,909.58,0.156,0.156,0.377,0.377
R7,08,茨城県,0802,日立,244008,24.4008,万人,606.16,0.21,0.21,0.077,0.077
R7,08,茨城県,0803,常陸太田・ひたちなか,351579,35.1579,万人,1281.98,0.473,0.473,0.157,0.157
R7,08,茨城県,0804,鹿行,268146,26.8146,万人,754.49,0.518,0.518,0.053,0.053
R7,08,茨城県,0805,土浦,255222,25.5222,万人,495.02,0.397,0.397,0.451,0.451
R7,08,茨城県,0806,つくば,352362,35.2362,万人,486.52,0.319,0.319,0.505,0.505
R7,08,茨城県,0807,取手・竜ヶ崎,459781,45.9781,万人,656.14,0.306,0.306,0.281,0.281
R7,08,茨城県,0808,筑西・下妻,254067,25.4067,万人,590.99,0.505,0.505,0.155,0.155
R7,08,茨城県,0809,古河・坂東,223903,22.3903,万人,316.31,0.34,0.34,0.255,0.255
R7,09,栃木県,0901,県北,366604,36.6604,万人,2229.59,0.251,0.251,0.084,0.084
R7,09,栃木県,0902,県西,171694,17.1694,万人,1940.47,0.429,0.429,0.10800000000000001,0.10800000000000001
R7,09,栃木県,0903,宇都宮,518757,51.8757,万人,416.85,0.215,0.215,0.316,0.316
R7,09,栃木県,0904,県東,138202,13.8202,万人,563.84,0.392,0.392,0.08199999999999999,0.08199999999999999
R7,09,栃木県,0905,県南,476915,47.6915,万人,723.56,0.22399999999999998,0.22399999999999998,0.478,0.478
R7,09,栃木県,0906,両毛,260974,26.0974,万人,533.8,0.21100000000000002,0.21100000000000002,0.259,0.259
R7,10,群馬県,1001,前橋,332149,33.2149,万人,311.59,0.17,0.17,0.42700000000000005,0.42700000000000005
R7,10,群馬県,1002,渋川,110589,11.0589,万人,288.65,0.268,0.268,0.34600000000000003,0.34600000000000003
R7,10,群馬県,1003,伊勢崎,247904,24.7904,万人,165.22,0.27,0.27,0.276,0.276
R7,10,群馬県,1004,高崎・安中,427880,42.788,万人,735.47,0.282,0.282,0.218,0.218
R7,10,群馬県,1005,藤岡,66034,6.6034,万人,476.74,0.258,0.258,0.469,0.469
R7,10,群馬県,1006,富岡,68124,6.8124,万人,488.67,0.374,0.374,0.248,0.248
R7,10,群馬県,1007,吾妻,51619,5.1619,万人,1278.55,0.429,0.429,0.109,0.109
R7,10,群馬県,1008,沼田,76958,7.6958,万人,1765.69,0.244,0.244,0.18899999999999997,0.18899999999999997
R7,10,群馬県,1009,桐生,156093,15.6093,万人,482.87,0.22699999999999998,0.22699999999999998,0.19,0.19
R7,10,群馬県,1010,太田・館林,401760,40.176,万人,368.88,0.28600000000000003,0.28600000000000003,0.158,0.158
R7,11,埼玉県,1101,南部,809456,80.9456,万人,85.25,0.341,0.341,0.214,0.214
R7,11,埼玉県,1102,南西部,730325,73.0325,万人,110.95,0.33,0.33,0.233,0.233
R7,11,埼玉県,1103,東部,1155470,115.547,万人,249.71,0.284,0.284,0.171,0.171
R7,11,埼玉県,1104,さいたま,1324025,132.4025,万人,217.44,0.28800000000000003,0.28800000000000003,0.23800000000000002,0.23800000000000002
R7,11,埼玉県,1105,県央,528558,52.8558,万人,172.91,0.405,0.405,0.341,0.341
R7,11,埼玉県,1106,川越比企,793673,79.3673,万人,626.53,0.27,0.27,0.317,0.317
R7,11,埼玉県,1107,西部,771746,77.1746,万人,406.32,0.27399999999999997,0.27399999999999997,0.313,0.313
R7,11,埼玉県,1108,利根,635455,63.5455,万人,473.95,0.34700000000000003,0.34700000000000003,0.27399999999999997,0.27399999999999997
R7,11,埼玉県,1109,北部,501367,50.1367,万人,562.12,0.307,0.307,0.172,0.172
R7,11,埼玉県,1110,秩父,94690,9.469,万人,892.62,0.374,0.374,0.006,0.006
R7,12,千葉県,1201,千葉,974951,97.4951,万人,271.77,0.272,0.272,0.406,0.406
R7,12,千葉県,1202,東葛南部,1796572,179.6572,万人,253.81,0.271,0.271,0.184,0.184
R7,12,千葉県,1203,東葛北部,1407697,140.7697,万人,358.14,0.163,0.163,0.193,0.193
