published_fy,pref_code,pref_name,area_code,area_name,population_2020,population_2020_source_value,population_2020_source_unit,area_2020_km2,outflow_rate,outflow_rate_source_value,inflow_rate,inflow_rate_source_value
R7,35,山口県,3501,岩国,135159,13.5159,万人,884.3,0.29100000000000004,0.29100000000000004,0.134,0.134
R7,35,山口県,3502,柳井,74336,7.4336,万人,397.84,0.24600000000000002,0.24600000000000002,0.28600000000000003,0.28600000000000003
R7,35,山口県,3503,周南,243225,24.3225,万人,837.77,0.136,0.136,0.1,0.1
R7,35,山口県,3504,山口・防府,307945,30.7945,万人,1212.6,0.151,0.151,0.17600000000000002,0.17600000000000002
R7,35,山口県,3505,宇部・小野田,246143,24.6143,万人,892.38,0.07,0.07,0.122,0.122
R7,35,山口県,3506,下関,255051,25.5051,万人,716.1,0.08800000000000001,0.08800000000000001,0.052000000000000005,0.052000000000000005
R7,35,山口県,3507,長門,32519,3.2519,万人,357.31,0.185,0.185,0.12300000000000001,0.12300000000000001
R7,35,山口県,3508,萩,47681,4.7681,万人,814.26,0.335,0.335,0.051,0.051
R7,36,徳島県,3601,東部,509036,50.9036,万人,1016.78,0.091,0.091,0.107,0.107
R7,36,徳島県,3603,南部,137526,13.7526,万人,1724.13,0.17800000000000002,0.17800000000000002,0.205,0.205
R7,36,徳島県,3605,西部,72997,7.2997,万人,1405.88,0.245,0.245,0.05,0.05
R7,37,香川県,3702,小豆,26716,2.6716,万人,169.97,0.387,0.387,0,0
R7,37,香川県,3706,東部,522759,52.2759,万人,776.87,0.076,0.076,0.129,0.129
R7,37,香川県,3707,西部,400769,40.0769,万人,929.94,0.139,0.139,0.081,0.081
R7,38,愛媛県,3801,宇摩,82754,8.2754,万人,421.24,0.309,0.309,0.040999999999999995,0.040999999999999995
R7,38,愛媛県,3802,新居浜・西条,220729,22.0729,万人,744.48,0.212,0.212,0.061,0.061
R7,38,愛媛県,3803,今治,158181,15.8181,万人,449.52,0.259,0.259,0.052000000000000005,0.052000000000000005
R7,38,愛媛県,3804,松山,637742,63.7742,万人,1540.83,0.027000000000000003,0.027000000000000003,0.23800000000000002,0.23800000000000002
R7,38,愛媛県,3805,八幡浜・大洲,131669,13.1669,万人,1472.65,0.34700000000000003,0.34700000000000003,0.025,0.025
R7,38,愛媛県,3806,宇和島,103766,10.3766,万人,1047.51,0.12,0.12,0.171,0.171
R7,39,高知県,3901,安芸,43666,4.3666,万人,1128.51,0.41600000000000004,0.41600000000000004,0.043,0.043
R7,39,高知県,3902,中央,516816,51.6816,万人,3008.37,0.013999999999999999,0.013999999999999999,0.133,0.133
R7,39,高知県,3903,高幡,50797,5.0797,万人,1405.24,0.601,0.601,0.124,0.124
R7,39,高知県,3904,幡多,80248,8.0248,万人,1561.73,0.327,0.327,0.035,0.035
R7,40,福岡県,4001,福岡・糸島,1711269,171.1269,万人,559.1,0.10400000000000001,0.10400000000000001,0.22699999999999998,0.22699999999999998
R7,40,福岡県,4002,粕屋,292856,29.2856,万人,206.71,0.483,0.483,0.506,0.506
R7,40,福岡県,4003,宗像,164128,16.4128,万人,172.68,0.534,0.534,0.17,0.17
R7,40,福岡県,4004,筑紫,439695,43.9695,万人,233.32,0.40299999999999997,0.40299999999999997,0.282,0.282
R7,40,福岡県,4005,朝倉,81763,8.1763,万人,365.78,0.267,0.267,0.191,0.191
R7,40,福岡県,4006,久留米,452986,45.2986,万人,467.83,0.187,0.187,0.379,0.379
R7,40,福岡県,4007,八女・筑後,129404,12.9404,万人,562.16,0.45,0.45,0.282,0.282
R7,40,福岡県,4008,有明,211617,21.1617,万人,263.81,0.19699999999999998,0.19699999999999998,0.196,0.196
R7,40,福岡県,4009,飯塚,174715,17.4715,万人,369.32,0.183,0.183,0.292,0.292
R7,40,福岡県,4010,直方・鞍手,104741,10.4741,万人,251.53,0.452,0.452,0.266,0.266
R7,40,福岡県,4011,田川,117958,11.7958,万人,363.73,0.40399999999999997,0.40399999999999997,0.076,0.076
R7,40,福岡県,4012,北九州,1070780,107.078,万人,601.31,0.057999999999999996,0.057999999999999996,0.10800000000000001,0.10800000000000001
R7,40,福岡県,4013,京築,183302,18.3302,万人,569.25,0.434,0.434,0.083,0.083
R7,41,佐賀県,4101,中部,342893,34.2893,万人,793.73,0.085,0.085,0.195,0.195
R7,41,佐賀県,4102,東部,126243,12.6243,万人,158.59,0.5760000000000001,0.5760000000000001,0.35700000000000004,0.35700000000000004
R7,41,佐賀県,4103,北部,122982,12.2982,万人,523.51,0.182,0.182,0.07400000000000001,0.07400000000000001
R7,41,佐賀県,4104,西部,71639,7.1639,万人,321.1,0.725,0.725,0.203,0.203
R7,41,佐賀県,4105,南部,147685,14.7685,万人,643.78,0.248,0.248,0.254,0.254
R7,42,長崎県,4201,長崎,505512,50.5512,万人,697.12,0.07,0.07,0.09,0.09
R7,42,長崎県,4202,佐世保県北,307771,30.7771,万人,823.97,0.083,0.083,0.107,0.107
R7,42,長崎県,4203,県央,264638,26.4638,万人,635.96,0.149,0.149,0.16699999999999998,0.16699999999999998
R7,42,長崎県,4204,県南,126764,12.6764,万人,467.39,0.26899999999999996,0.26899999999999996,0.062,0.062
R7,42,長崎県,4206,五島,34391,3.4391,万人,420.1,0.149,0.149,0.016,0.016
R7,42,長崎県,4207,上五島,19791,1.9791,万人,239.51,0.418,0.418,0,0
R7,42,長崎県,4208,壱岐,24948,2.4948,万人,139.42,0.321,0.321,0,0
R7,42,長崎県,4209,対馬,28502,2.8502,万人,707.42,0.342,0.342,0,0
R7,43,熊本県,4302,宇城,102546,10.2546,万人,406.91,0.521,0.521,0.41,0.41
R7,43,熊本県,4303,有明,153862,15.3862,万人,421.43,0.485,0.485,0.063,0.063
R7,43,熊本県,4304,鹿本,49025,4.9025,万人,299.69,0.434,0.434,0.166,0.166
R7,43,熊本県,4305,菊池,186712,18.6712,万人,466.6,0.406,0.406,0.41,0.41
R7,43,熊本県,4306,阿蘇,58703,5.8703,万人,1079.55,0.693,0.693,0.023,0.023
R7,43,熊本県,4308,八代,134161,13.4161,万人,714.72,0.22699999999999998,0.22699999999999998,0.174,0.174
R7,43,熊本県,4309,芦北,43492,4.3492,万人,431.36,0.2,0.2,0.231,0.231
R7,43,熊本県,4310,球磨,81480,8.148,万人,1536.57,0.175,0.175,0.079,0.079
R7,43,熊本県,4311,天草,107460,10.746,万人,878.38,0.255,0.255,0.067,0.067
R7,43,熊本県,4312,熊本・上益城,820860,82.086,万人,1174.28,0.077,0.077,0.228,0.228
R7,44,大分県,4401,東部,199000,19.9,万人,803.83,0.096,0.096,0.18,0.18
R7,44,大分県,4403,中部,560644,56.0644,万人,1192.38,0.078,0.078,0.165,0.165
R7,44,大分県,4405,南部,66851,6.6851,万人,903.11,0.196,0.196,0.051,0.051
R7,44,大分県,4406,豊肥,54027,5.4027,万人,1080.67,0.374,0.374,0.10400000000000001,0.10400000000000001
R7,44,大分県,4408,西部,85584,8.5584,万人,1223.91,0.278,0.278,0.109,0.109
R7,44,大分県,4409,北部,157746,15.7746,万人,1136.82,0.271,0.271,0.125,0.125
R7,45,宮崎県,4501,宮崎東諸県,426671,42.6671,万人,869.49,0.067,0.067,0.243,0.243
R7,45,宮崎県,4502,都城北諸県,186231,18.6231,万人,763.38,0.217,0.217,0.19699999999999998,0.19699999999999998
R7,45,宮崎県,4503,延岡西臼杵,137143,13.7143,万人,1554.96,0.193,0.193,0.121,0.121
R7,45,宮崎県,4504,日南串間,67670,6.767,万人,831.27,0.18100000000000002,0.18100000000000002,0.162,0.162
R7,45,宮崎県,4505,西諸,69947,6.9947,万人,931.27,0.267,0.267,0.09,0.09
R7,45,宮崎県,4506,西都児湯,96091,9.6091,万人,1153.82,0.452,0.452,0.225,0.225
R7,45,宮崎県,4507,日向入郷,85823,8.5823,万人,1631.15,0.41600000000000004,0.41600000000000004,0.10099999999999999,0.10099999999999999
R7,46,鹿児島県,4601,鹿児島,668916,66.8916,万人,1045.42,0.028999999999999998,0.028999999999999998,0.231,0.231
R7,46,鹿児島県,4603,南薩,125011,12.5011,万人,865.12,0.311,0.311,0.046,0.046
R7,46,鹿児島県,4605,川薩,112646,11.2646,万人,986.82,0.297,0.297,0.045,0.045
R7,46,鹿児島県,4606,出水,80969,8.0969,万人,580.45,0.3,0.3,0,0
R7,46,鹿児島県,4607,姶良・伊佐,233055,23.3055,万人,1371.28,0.265,0.265,0.142,0.142
R7,46,鹿児島県,4609,曽於,75024,7.5024,万人,781.06,0.6729999999999999,0.6729999999999999,0.18100000000000002,0.18100000000000002
R7,46,鹿児島県,4610,肝属,148804,14.8804,万人,1322.91,0.18100000000000002,0.18100000000000002,0.179,0.179
R7,46,鹿児島県,4611,熊毛,39550,3.955,万人,993.68,0.292,0.292,0.006999999999999999,0.006999999999999999
R7,46,鹿児島県,4612,奄美,104281,10.4281,万人,1240.19,0.187,0.187,0.011000000000000001,0.011000000000000001
R7,47,沖縄県,4701,北部,100751,10.0751,万人,705.43,0.184,0.184,0.063,0.063
R7,47,沖縄県,4702,中部,518742,51.8742,万人,367.91,0.172,0.172,0.16,0.16
R7,47,沖縄県,4703,南部,740743,74.0743,万人,388.77,0.081,0.081,0.14400000000000002,0.14400000000000002
R7,47,沖縄県,4704,宮古,53989,5.3989,万人,226.2,0.132,0.132,0.011000000000000001,0.011000000000000001
R7,47,沖縄県,4705,八重山,53255,5.3255,万人,592.5,0.396,0.396,0,0
