published_fy,pref_code,pref_name,area_code,area_name,bed_function,series,year,beds
R7,01,北海道,0102,南檜山,回復期,実績,2021,0
R7,01,北海道,0102,南檜山,回復期,実績,2022,0
R7,01,北海道,0102,南檜山,回復期,実績,2023,0
R7,01,北海道,0102,南檜山,回復期,実績,2024,0
R7,01,北海道,0102,南檜山,回復期,実績,2025,0
R7,01,北海道,0102,南檜山,回復期,見込量,2026,0
R7,01,北海道,0102,南檜山,回復期,必要数,2025,119
R7,01,北海道,0102,南檜山,慢性期,実績,2015,197
R7,01,北海道,0102,南檜山,慢性期,実績,2018,187
R7,01,北海道,0102,南檜山,慢性期,実績,2019,187
R7,01,北海道,0102,南檜山,慢性期,実績,2020,168
R7,01,北海道,0102,南檜山,慢性期,実績,2021,172
R7,01,北海道,0102,南檜山,慢性期,実績,2022,191
R7,01,北海道,0102,南檜山,慢性期,実績,2023,165
R7,01,北海道,0102,南檜山,慢性期,実績,2024,165
R7,01,北海道,0102,南檜山,慢性期,実績,2025,165
R7,01,北海道,0102,南檜山,慢性期,見込量,2026,141
R7,01,北海道,0102,南檜山,慢性期,必要数,2025,70
R7,01,北海道,0103,北渡島檜山,合計,実績,2015,993
R7,01,北海道,0103,北渡島檜山,合計,実績,2018,898
R7,01,北海道,0103,北渡島檜山,合計,実績,2019,859
R7,01,北海道,0103,北渡島檜山,合計,実績,2020,619
R7,01,北海道,0103,北渡島檜山,合計,実績,2021,649
R7,01,北海道,0103,北渡島檜山,合計,実績,2022,643
R7,01,北海道,0103,北渡島檜山,合計,実績,2023,697
R7,01,北海道,0103,北渡島檜山,合計,実績,2024,650
R7,01,北海道,0103,北渡島檜山,合計,実績,2025,650
R7,01,北海道,0103,北渡島檜山,合計,見込量,2026,553
R7,01,北海道,0103,北渡島檜山,合計,必要数,2025,545
R7,01,北海道,0103,北渡島檜山,高度急性期,実績,2015,0
R7,01,北海道,0103,北渡島檜山,高度急性期,実績,2018,0
R7,01,北海道,0103,北渡島檜山,高度急性期,実績,2019,0
R7,01,北海道,0103,北渡島檜山,高度急性期,実績,2020,0
R7,01,北海道,0103,北渡島檜山,高度急性期,実績,2021,0
R7,01,北海道,0103,北渡島檜山,高度急性期,実績,2022,0
R7,01,北海道,0103,北渡島檜山,高度急性期,実績,2023,0
