published_fy,pref_code,pref_name,area_code,area_name,direction,overall_rate
R7,06,山形県,0604,庄内,流出率,0.08026698000137344
R7,07,福島県,0701,県北,流入率,0.15027326549615871
R7,07,福島県,0701,県北,流出率,0.08952190914673863
R7,07,福島県,0702,県中,流入率,0.20060710164889872
R7,07,福島県,0702,県中,流出率,0.09389036477930679
R7,07,福島県,0703,県南,流入率,0.15007207265972877
R7,07,福島県,0703,県南,流出率,0.35748392306950905
R7,07,福島県,0706,相双,流入率,0.05676781499603267
R7,07,福島県,0706,相双,流出率,0.48213571552296663
R7,07,福島県,0707,いわき,流入率,0.11837199931593867
R7,07,福島県,0707,いわき,流出率,0.1404851789644881
R7,07,福島県,0708,会津・南会津,流入率,0.036916278575320094
R7,07,福島県,0708,会津・南会津,流出率,0.08904044273335077
R7,08,茨城県,0801,水戸,流入率,0.3663205845062295
R7,08,茨城県,0801,水戸,流出率,0.16269606007249549
R7,08,茨城県,0802,日立,流入率,0.15698560866201072
R7,08,茨城県,0802,日立,流出率,0.1845217874009396
R7,08,茨城県,0803,常陸太田・ひたちなか,流入率,0.1678618941667488
R7,08,茨城県,0803,常陸太田・ひたちなか,流出率,0.49847250163839174
R7,08,茨城県,0804,鹿行,流入率,0.05728952069662996
R7,08,茨城県,0804,鹿行,流出率,0.5686019925764882
R7,08,茨城県,0805,土浦,流入率,0.4285834497907014
R7,08,茨城県,0805,土浦,流出率,0.3887386187991583
R7,08,茨城県,0806,つくば,流入率,0.5562613763470763
R7,08,茨城県,0806,つくば,流出率,0.25459065420920535
R7,08,茨城県,0807,取手・竜ヶ崎,流入率,0.2601860321100955
R7,08,茨城県,0807,取手・竜ヶ崎,流出率,0.37587036607156665
R7,08,茨城県,0808,筑西・下妻,流入率,0.14869694591081195
R7,08,茨城県,0808,筑西・下妻,流出率,0.5156246063053302
R7,08,茨城県,0809,古河・坂東,流入率,0.26168586419226303
R7,08,茨城県,0809,古河・坂東,流出率,0.37161623385140485
R7,09,栃木県,0901,県北,流入率,0.06821451148237401
R7,09,栃木県,0901,県北,流出率,0.2579906699305976
R7,09,栃木県,0902,県西,流入率,0.10482677519348105
R7,09,栃木県,0902,県西,流出率,0.4067582300497872
R7,09,栃木県,0903,宇都宮,流入率,0.2798473842290151
R7,09,栃木県,0903,宇都宮,流出率,0.2648955325212975
R7,09,栃木県,0904,県東,流入率,0.11494735374785459
R7,09,栃木県,0904,県東,流出率,0.3797433776343383
R7,09,栃木県,0905,県南,流入率,0.4892424341214562
R7,09,栃木県,0905,県南,流出率,0.18260253479989352
R7,09,栃木県,0906,両毛,流入率,0.1772157729781757
R7,09,栃木県,0906,両毛,流出率,0.23651759987904197
R7,10,群馬県,1001,前橋,流入率,0.4793389757920363
R7,10,群馬県,1001,前橋,流出率,0.16833366785539083
R7,10,群馬県,1002,渋川,流入率,0.48145967255826916
R7,10,群馬県,1002,渋川,流出率,0.4542490320381042
R7,10,群馬県,1003,伊勢崎,流入率,0.30344416357113624
R7,10,群馬県,1003,伊勢崎,流出率,0.35456132042666233
R7,10,群馬県,1004,高崎・安中,流入率,0.218391966402251
R7,10,群馬県,1004,高崎・安中,流出率,0.31409196716747956
R7,10,群馬県,1005,藤岡,流入率,0.5382966747776806
R7,10,群馬県,1005,藤岡,流出率,0.3443603815814894
R7,10,群馬県,1006,富岡,流入率,0.33497765847606575
R7,10,群馬県,1006,富岡,流出率,0.4079827762936049
R7,10,群馬県,1007,吾妻,流入率,0.06455860252716306
R7,10,群馬県,1007,吾妻,流出率,0.6243877965126183
R7,10,群馬県,1008,沼田,流入率,0.20331540529189984
R7,10,群馬県,1008,沼田,流出率,0.2466587889584675
R7,10,群馬県,1009,桐生,流入率,0.20150704879246462
R7,10,群馬県,1009,桐生,流出率,0.38549583677334
R7,10,群馬県,1010,太田・館林,流入率,0.269538223039562
R7,10,群馬県,1010,太田・館林,流出率,0.30752112191103
R7,11,埼玉県,1101,南部,流入率,0.23916015388454115
R7,11,埼玉県,1101,南部,流出率,0.3489297344067812
R7,11,埼玉県,1102,南西部,流入率,0.24747744824252416
R7,11,埼玉県,1102,南西部,流出率,0.33094096269588436
R7,11,埼玉県,1103,東部,流入率,0.1753615114360748
R7,11,埼玉県,1103,東部,流出率,0.29691499230090657
R7,11,埼玉県,1104,さいたま,流入率,0.2632096559079845
R7,11,埼玉県,1104,さいたま,流出率,0.2680920607211289
R7,11,埼玉県,1105,県央,流入率,0.30977983779919605
R7,11,埼玉県,1105,県央,流出率,0.39939000187259177
R7,11,埼玉県,1106,川越比企,流入率,0.3349105977883906
R7,11,埼玉県,1106,川越比企,流出率,0.3340409671450818
R7,11,埼玉県,1107,西部,流入率,0.2968653444487531
R7,11,埼玉県,1107,西部,流出率,0.2489402100510455
R7,11,埼玉県,1108,利根,流入率,0.21423867623611526
R7,11,埼玉県,1108,利根,流出率,0.3617522839550176
R7,11,埼玉県,1109,北部,流入率,0.21160651663114327
R7,11,埼玉県,1109,北部,流出率,0.3477471324479008
R7,11,埼玉県,1110,秩父,流入率,0.03824451316689392
R7,11,埼玉県,1110,秩父,流出率,0.5069321006139992
R7,12,千葉県,1201,千葉,流入率,0.31795061171532324
R7,12,千葉県,1201,千葉,流出率,0.23652585805064885
R7,12,千葉県,1202,東葛南部,流入率,0.2002835463331455
R7,12,千葉県,1202,東葛南部,流出率,0.26471137540719913
R7,12,千葉県,1203,東葛北部,流入率,0.19607808555819106
R7,12,千葉県,1203,東葛北部,流出率,0.156261101633287
R7,12,千葉県,1204,印旛,流入率,0.3047927437008664
R7,12,千葉県,1204,印旛,流出率,0.23556389412942758
R7,12,千葉県,1205,香取海匝,流入率,0.2458506045277672
R7,12,千葉県,1205,香取海匝,流出率,0.22090862279756918
R7,12,千葉県,1206,山武長生夷隅,流入率,0.08479783987552458
R7,12,千葉県,1206,山武長生夷隅,流出率,0.554726761681423
R7,12,千葉県,1207,安房,流入率,0.4778165410245807
R7,12,千葉県,1207,安房,流出率,0.08487941873862015
R7,12,千葉県,1208,君津,流入率,0.07839290038640179
R7,12,千葉県,1208,君津,流出率,0.2971470027758307
R7,12,千葉県,1209,市原,流入率,0.2820004268789229
R7,12,千葉県,1209,市原,流出率,0.2745177085609566
R7,13,東京都,1301,区中央部,流入率,0.7818359050363376
R7,13,東京都,1301,区中央部,流出率,0.34164444434479724
R7,13,東京都,1302,区南部,流入率,0.2589757713849077
R7,13,東京都,1302,区南部,流出率,0.2566537825193982
R7,13,東京都,1303,区西南部,流入率,0.3895872177504608
R7,13,東京都,1303,区西南部,流出率,0.41560611586165985
R7,13,東京都,1304,区西部,流入率,0.5252985152676495
R7,13,東京都,1304,区西部,流出率,0.3334422356683513
R7,13,東京都,1305,区西北部,流入率,0.2720537954733704
R7,13,東京都,1305,区西北部,流出率,0.36251851182124595
R7,13,東京都,1306,区東北部,流入率,0.2247923996301795
R7,13,東京都,1306,区東北部,流出率,0.4370816581291499
R7,13,東京都,1307,区東部,流入率,0.29996549421141283
R7,13,東京都,1307,区東部,流出率,0.38008826367882065
R7,13,東京都,1308,西多摩,流入率,0.14472123096122436
R7,13,東京都,1308,西多摩,流出率,0.3797880326977432
R7,13,東京都,1309,南多摩,流入率,0.17686318749281238
R7,13,東京都,1309,南多摩,流出率,0.3871864518579451
R7,13,東京都,1310,北多摩西部,流入率,0.3529566645088089
R7,13,東京都,1310,北多摩西部,流出率,0.4078765855844487
R7,13,東京都,1311,北多摩南部,流入率,0.48656865629761825
R7,13,東京都,1311,北多摩南部,流出率,0.3534979098054001
R7,13,東京都,1312,北多摩北部,流入率,0.34310042152230846
R7,13,東京都,1312,北多摩北部,流出率,0.4090394824580079
R7,13,東京都,1313,島しょ,流入率,0.021118886106905044
R7,13,東京都,1313,島しょ,流出率,0.7343417724785337
R7,14,神奈川県,1404,川崎北部,流入率,0.3565375331289684
R7,14,神奈川県,1404,川崎北部,流出率,0.3984183955828001
R7,14,神奈川県,1405,川崎南部,流入率,0.3914021851116978
