published_fy,pref_code,pref_name,area_code,area_name,population_2024,population_2040
R7,16,富山県,1602,富山,482510,427856
R7,16,富山県,1603,高岡,295023,241800
R7,16,富山県,1604,砺波,120602,94904
R7,17,石川県,1701,南加賀,222923,188743
R7,17,石川県,1702,石川中央,709611,674837
R7,17,石川県,1703,能登中部,112045,80073
R7,17,石川県,1704,能登北部,53540,35273
R7,18,福井県,1801,福井・坂井,386409,342236
R7,18,福井県,1802,奥越,50877,37244
R7,18,福井県,1803,丹南,180109,151871
R7,18,福井県,1804,嶺南,129281,107831
R7,19,山梨県,1901,中北,457106,410682
R7,19,山梨県,1902,峡東,128646,103675
R7,19,山梨県,1903,峡南,45649,31592
R7,19,山梨県,1904,富士・東部,169520,135162
R7,20,長野県,2001,佐久,206344,180353
R7,20,長野県,2002,上小,190098,166815
R7,20,長野県,2003,諏訪,188761,160523
R7,20,長野県,2004,上伊那,176899,152409
R7,20,長野県,2005,飯伊,150539,125437
R7,20,長野県,2006,木曽,23712,16509
R7,20,長野県,2007,松本,415860,381639
R7,20,長野県,2008,大北,56399,41915
R7,20,長野県,2009,長野,521888,456765
R7,20,長野県,2010,北信,81558,61018
R7,21,岐阜県,2101,岐阜,790597,701293
R7,21,岐阜県,2102,西濃,350564,288588
R7,21,岐阜県,2103,中濃,361372,305051
R7,21,岐阜県,2104,東濃,314159,252972
R7,21,岐阜県,2105,飛騨,134507,97863
R7,22,静岡県,2201,賀茂,56371,38891
R7,22,静岡県,2202,熱海伊東,97728,75853
R7,22,静岡県,2203,駿東田方,625047,530723
R7,22,静岡県,2204,富士,373348,319006
R7,22,静岡県,2205,静岡,672775,598680
R7,22,静岡県,2206,志太榛原,446901,381413
R7,22,静岡県,2207,中東遠,462355,415057
R7,22,静岡県,2208,西部,841140,756154
R7,23,愛知県,2302,海部,327053,283837
R7,23,愛知県,2304,尾張東部,477602,455605
R7,23,愛知県,2305,尾張西部,509740,458593
R7,23,愛知県,2306,尾張北部,731193,672453
R7,23,愛知県,2307,知多半島,621831,590944
R7,23,愛知県,2308,西三河北部,476158,453568
R7,23,愛知県,2309,西三河南部西,704106,680768
R7,23,愛知県,2310,西三河南部東,424679,414088
R7,23,愛知県,2311,東三河北部,49971,36298
R7,23,愛知県,2312,東三河南部,687794,615162
R7,23,愛知県,2313,名古屋・尾張中部,2473535,2388645
R7,24,三重県,2405,桑員,214097,191657
R7,24,三重県,2406,三泗,373987,342187
R7,24,三重県,2407,鈴亀,243581,217844
R7,24,三重県,2408,津,268388,238368
R7,24,三重県,2409,伊賀,158832,129236
R7,24,三重県,2410,松阪,207724,172109
R7,24,三重県,2411,伊勢志摩,212387,162725
R7,24,三重県,2412,東紀州,62136,41694
R7,25,滋賀県,2501,大津,343600,335925
R7,25,滋賀県,2502,湖南,347415,352324
R7,25,滋賀県,2503,甲賀,141794,122365
R7,25,滋賀県,2504,東近江,225232,199632
R7,25,滋賀県,2505,湖東,152793,141271
R7,25,滋賀県,2506,湖北,149222,123626
R7,25,滋賀県,2507,湖西,45190,34240
R7,26,京都府,2601,丹後,87260,61293
R7,26,京都府,2602,中丹,180934,154182
R7,26,京都府,2603,南丹,128124,101621
R7,26,京都府,2604,京都・乙訓,1528924,1473602
R7,26,京都府,2605,山城北,424389,359530
R7,26,京都府,2606,山城南,122298,116793
R7,27,大阪府,2701,豊能,1059368,1010435
R7,27,大阪府,2702,三島,750222,708746
R7,27,大阪府,2703,北河内,1120435,960003
R7,27,大阪府,2704,中河内,803358,699006
R7,27,大阪府,2705,南河内,579227,462770
R7,27,大阪府,2706,堺市,811991,710676
R7,27,大阪府,2707,泉州,868410,737449
R7,27,大阪府,2708,大阪市,2778917,2585355
R7,28,兵庫県,2801,神戸,1493543,1343629
R7,28,兵庫県,2804,東播磨,716127,637270
R7,28,兵庫県,2805,北播磨,257076,207969
R7,28,兵庫県,2808,但馬,152068,111384
R7,28,兵庫県,2809,丹波,99128,78365
R7,28,兵庫県,2810,淡路,125863,94423
R7,28,兵庫県,2811,阪神,1748302,1604701
R7,28,兵庫県,2812,播磨姫路,801499,689632
R7,29,奈良県,2901,奈良,347187,302351
R7,29,奈良県,2902,東和,193044,147600
R7,29,奈良県,2903,西和,336118,283272
R7,29,奈良県,2904,中和,365698,311241
R7,29,奈良県,2905,南和,61564,38541
R7,30,和歌山県,3001,和歌山,407144,345929
R7,30,和歌山県,3002,那賀,112820,93864
R7,30,和歌山県,3003,橋本,80449,60216
R7,30,和歌山県,3004,有田,67318,50378
R7,30,和歌山県,3005,御坊,56941,45665
R7,30,和歌山県,3006,田辺,117706,90841
R7,30,和歌山県,3007,新宮,58669,41133
R7,31,鳥取県,3101,東部,214240,183067
R7,31,鳥取県,3102,中部,95580,77147
R7,31,鳥取県,3103,西部,224053,194283
R7,32,島根県,3201,松江,229425,208525
R7,32,島根県,3202,雲南,49858,35167
R7,32,島根県,3203,出雲,172327,159477
R7,32,島根県,3204,大田,47886,35772
R7,32,島根県,3205,浜田,69778,57962
R7,32,島根県,3206,益田,54930,42581
R7,32,島根県,3207,隠岐,18256,13601
R7,33,岡山県,3301,県南東部,882351,825869
R7,33,岡山県,3302,県南西部,693252,618431
R7,33,岡山県,3303,高梁・新見,51959,36425
R7,33,岡山県,3304,真庭,41555,30425
R7,33,岡山県,3305,津山・英田,166289,135210
R7,34,広島県,3401,広島,1340761,1249315
R7,34,広島県,3402,広島西,140804,122102
R7,34,広島県,3403,呉,221932,166607
R7,34,広島県,3404,広島中央,220247,209317
R7,34,広島県,3405,尾三,227990,178608
R7,34,広島県,3406,福山・府中,497935,440681
R7,34,広島県,3407,備北,79102,61345
R7,35,山口県,3501,岩国,130263,102721
R7,35,山口県,3502,柳井,69737,51547
R7,35,山口県,3503,周南,239385,197053
R7,35,山口県,3504,山口・防府,299126,273011
R7,35,山口県,3505,宇部・小野田,236230,192236
R7,35,山口県,3506,下関,243422,192227
R7,35,山口県,3507,長門,30207,20928
R7,35,山口県,3508,萩,44553,29701
R7,36,徳島県,3601,東部,498456,418417
R7,36,徳島県,3603,南部,132729,96099
R7,36,徳島県,3605,西部,69044,46013
R7,37,香川県,3702,小豆,25441,17756
R7,37,香川県,3706,東部,519134,451825
R7,37,香川県,3707,西部,395390,330455
R7,38,愛媛県,3801,宇摩,80965,61447
R7,38,愛媛県,3802,新居浜・西条,216137,180859
R7,38,愛媛県,3803,今治,153787,120162
R7,38,愛媛県,3804,松山,622037,559159
R7,38,愛媛県,3805,八幡浜・大洲,125252,85578
R7,38,愛媛県,3806,宇和島,98090,66622
R7,39,高知県,3901,安芸,41827,27112
R7,39,高知県,3902,中央,497400,414484
R7,39,高知県,3903,高幡,48263,32136
R7,39,高知県,3904,幡多,76896,54235
R7,40,福岡県,4001,福岡・糸島,1712315,1757813
R7,40,福岡県,4002,粕屋,294120,292305
R7,40,福岡県,4003,宗像,166070,163555
R7,40,福岡県,4004,筑紫,442832,427789
R7,40,福岡県,4005,朝倉,82572,67297
R7,40,福岡県,4006,久留米,448011,405146
R7,40,福岡県,4007,八女・筑後,127819,108333
R7,40,福岡県,4008,有明,200515,159124
R7,40,福岡県,4009,飯塚,170999,143339
R7,40,福岡県,4010,直方・鞍手,102594,85385
R7,40,福岡県,4011,田川,114883,88451
R7,40,福岡県,4012,北九州,1043210,907536
R7,40,福岡県,4013,京築,180927,155956
R7,41,佐賀県,4101,中部,334495,300954
R7,41,佐賀県,4102,東部,127737,120740
R7,41,佐賀県,4103,北部,118698,95854
R7,41,佐賀県,4104,西部,70203,55297
R7,41,佐賀県,4105,南部,143059,114953
R7,42,長崎県,4201,長崎,484243,394646
R7,42,長崎県,4202,佐世保県北,295766,234627
R7,42,長崎県,4203,県央,267580,225715
R7,42,長崎県,4204,県南,123408,88891
R7,42,長崎県,4206,五島,33739,22882
R7,42,長崎県,4207,上五島,18779,11374
R7,42,長崎県,4208,壱岐,23736,16532
R7,42,長崎県,4209,対馬,27102,17705
R7,43,熊本県,4302,宇城,101131,82816
R7,43,熊本県,4303,有明,149660,120278
R7,43,熊本県,4304,鹿本,48002,35908
R7,43,熊本県,4305,菊池,191863,185344
R7,43,熊本県,4306,阿蘇,58553,44688
R7,43,熊本県,4308,八代,130765,107001
R7,43,熊本県,4309,芦北,40609,27851
R7,43,熊本県,4310,球磨,78090,57598
R7,43,熊本県,4311,天草,101734,70297
R7,43,熊本県,4312,熊本・上益城,815797,761126
R7,44,大分県,4401,東部,192881,157460
R7,44,大分県,4403,中部,556294,504730
R7,44,大分県,4405,南部,64450,44869
R7,44,大分県,4406,豊肥,50915,34963
R7,44,大分県,4408,西部,82317,60952
R7,44,大分県,4409,北部,155244,133420
R7,45,宮崎県,4501,宮崎東諸県,419506,390708
R7,45,宮崎県,4502,都城北諸県,188258,160565
R7,45,宮崎県,4503,延岡西臼杵,131418,101146
R7,45,宮崎県,4504,日南串間,64245,46209
R7,45,宮崎県,4505,西諸,67535,50967
R7,45,宮崎県,4506,西都児湯,94150,72700
R7,45,宮崎県,4507,日向入郷,83136,66423
R7,46,鹿児島県,4601,鹿児島,664200,594738
R7,46,鹿児島県,4603,南薩,118656,87265
R7,46,鹿児島県,4605,川薩,109232,88972
R7,46,鹿児島県,4606,出水,78951,60919
R7,46,鹿児島県,4607,姶良・伊佐,232235,201014
R7,46,鹿児島県,4609,曽於,72792,52069
R7,46,鹿児島県,4610,肝属,143624,115960
R7,46,鹿児島県,4611,熊毛,37654,28988
R7,46,鹿児島県,4612,奄美,101265,79502
R7,47,沖縄県,4701,北部,102434,92496
R7,47,沖縄県,4702,中部,523518,525700
R7,47,沖縄県,4703,南部,745461,717811
R7,47,沖縄県,4704,宮古,56675,50636
R7,47,沖縄県,4705,八重山,55707,51528
