published_fy,direction,pref_code,pref_name,area_code,area_name,phase,rank,partner_pref_code,partner_pref_name,partner_area_code,partner_area_name,rate,rate_source_value,value_status
R7,流入率,01,北海道,0104,札幌,高度急性期+急性期,4,01,北海道,0110,東胆振,0.012756153932730226,0.012756153932730226,observed
R7,流入率,01,北海道,0104,札幌,高度急性期+急性期,5,01,北海道,0109,西胆振,0.008370880560620282,0.008370880560620282,observed
R7,流入率,01,北海道,0104,札幌,高度急性期+急性期,6,01,北海道,0111,日高,0.007736217752199261,0.007736217752199261,observed
R7,流入率,01,北海道,0104,札幌,高度急性期+急性期,7,01,北海道,0119,十勝,0.00665892309171074,0.00665892309171074,observed
R7,流入率,01,北海道,0104,札幌,高度急性期+急性期,8,01,北海道,0107,中空知,0.006392249221903576,0.006392249221903576,observed
R7,流入率,01,北海道,0104,札幌,高度急性期+急性期,9,01,北海道,0116,宗谷,0.0048032703925816505,0.0048032703925816505,observed
R7,流入率,01,北海道,0104,札幌,高度急性期+急性期,10,01,北海道,0117,北網,0.004601862397960221,0.004601862397960221,observed
R7,流入率,01,北海道,0104,札幌,高度急性期+急性期,11,01,北海道,0101,南渡島,0.003975240456092965,0.003975240456092965,observed
R7,流入率,01,北海道,0104,札幌,高度急性期+急性期,12,01,北海道,0115,留萌,0.003772148076412445,0.003772148076412445,observed
R7,流入率,01,北海道,0104,札幌,高度急性期+急性期,13,01,北海道,0120,釧路,0.003088050684108364,0.003088050684108364,observed
R7,流入率,01,北海道,0104,札幌,高度急性期+急性期,14,01,北海道,0112,上川中部,0.0028883261104699983,0.0028883261104699983,observed
R7,流入率,01,北海道,0104,札幌,高度急性期+急性期,15,01,北海道,0118,遠紋,0.002379046479612557,0.002379046479612557,observed
R7,流入率,01,北海道,0104,札幌,高度急性期+急性期,16,01,北海道,0121,根室,0.0020056347074497017,0.0020056347074497017,observed
R7,流入率,01,北海道,0104,札幌,高度急性期+急性期,17,01,北海道,0103,北渡島檜山,0.0013084745794810814,0.0013084745794810814,observed
R7,流入率,01,北海道,0104,札幌,高度急性期+急性期,18,01,北海道,0113,上川北部,0.0009341807146165098,0.0009341807146165098,observed
R7,流入率,01,北海道,0104,札幌,高度急性期+急性期,19,01,北海道,0108,北空知,0.0005901611156873932,0.0005901611156873932,observed
R7,流入率,01,北海道,0104,札幌,高度急性期+急性期,20,01,北海道,0114,富良野,0.000531713856742332,0.000531713856742332,observed
R7,流入率,01,北海道,0104,札幌,包括期,1,01,北海道,0104,札幌,0.8795423930842466,0.8795423930842466,observed
R7,流入率,01,北海道,0104,札幌,包括期,2,01,北海道,0106,南空知,0.024129211115185432,0.024129211115185432,observed
R7,流入率,01,北海道,0104,札幌,包括期,3,01,北海道,0105,後志,0.023801527618004425,0.023801527618004425,observed
R7,流入率,01,北海道,0104,札幌,包括期,4,01,北海道,0110,東胆振,0.011617652869583963,0.011617652869583963,observed
R7,流入率,01,北海道,0104,札幌,包括期,5,01,北海道,0107,中空知,0.006653221826303955,0.006653221826303955,observed
R7,流入率,01,北海道,0104,札幌,包括期,6,01,北海道,0111,日高,0.006650109332666886,0.006650109332666886,observed
R7,流入率,01,北海道,0104,札幌,包括期,7,01,北海道,0109,西胆振,0.006452555722847451,0.006452555722847451,observed
