area_code,area_name,pref_code,pref_name,bed_function,plan_2025_r6,actual_2025_r7,actual_2024_r6,actual_2024_r7,need_2025
0201,津軽地域,02,青森県,急性期,1750,1715,1857,1715,1110
0201,津軽地域,02,青森県,回復期,521,546,481,546,1244
0201,津軽地域,02,青森県,慢性期,798,720,684,720,467
0202,八戸地域,02,青森県,合計,3015,2972,2990,2972,3231
0202,八戸地域,02,青森県,高度急性期,110,110,116,110,323
0202,八戸地域,02,青森県,急性期,1608,1569,1576,1569,1122
0202,八戸地域,02,青森県,回復期,681,662,662,662,1082
0202,八戸地域,02,青森県,慢性期,616,631,636,631,704
0203,青森地域,02,青森県,合計,3161,3061,3261,3061,3024
0203,青森地域,02,青森県,高度急性期,545,538,595,538,338
0203,青森地域,02,青森県,急性期,1153,1096,1196,1096,900
0203,青森地域,02,青森県,回復期,829,789,753,789,1127
0203,青森地域,02,青森県,慢性期,634,638,717,638,659
0204,西北五地域,02,青森県,合計,689,657,705,657,804
0204,西北五地域,02,青森県,高度急性期,16,0,0,0,43
0204,西北五地域,02,青森県,急性期,392,405,392,405,270
0204,西北五地域,02,青森県,回復期,125,106,125,106,246
0204,西北五地域,02,青森県,慢性期,156,146,188,146,245
0205,上十三地域,02,青森県,合計,1082,1034,1106,1034,1176
0205,上十三地域,02,青森県,高度急性期,87,87,87,87,96
0205,上十三地域,02,青森県,急性期,678,656,753,656,506
0205,上十三地域,02,青森県,回復期,143,98,92,98,371
0205,上十三地域,02,青森県,慢性期,174,193,174,193,203
0206,下北地域,02,青森県,合計,523,523,523,523,453
0206,下北地域,02,青森県,高度急性期,6,6,6,6,39
0206,下北地域,02,青森県,急性期,359,359,359,359,162
0206,下北地域,02,青森県,回復期,78,78,78,78,168
0206,下北地域,02,青森県,慢性期,80,80,80,80,84
0301,盛岡,03,岩手県,合計,5514,5306,5611,5306,5185
0301,盛岡,03,岩手県,高度急性期,1292,1265,1292,1265,547
0301,盛岡,03,岩手県,急性期,1747,1654,1755,1654,1553
0301,盛岡,03,岩手県,回復期,1154,1158,1165,1158,1861
0301,盛岡,03,岩手県,慢性期,1321,1229,1399,1229,1224
0302,岩手中部,03,岩手県,合計,1541,1543,1551,1543,1376
0302,岩手中部,03,岩手県,高度急性期,50,50,50,50,135
0302,岩手中部,03,岩手県,急性期,771,792,800,792,438
0302,岩手中部,03,岩手県,回復期,536,536,536,536,555
0302,岩手中部,03,岩手県,慢性期,184,165,165,165,248
0303,胆江,03,岩手県,合計,1211,1179,1211,1179,1198
0303,胆江,03,岩手県,高度急性期,0,0,0,0,84
0303,胆江,03,岩手県,急性期,393,393,393,393,357
0303,胆江,03,岩手県,回復期,454,442,454,442,312
0303,胆江,03,岩手県,慢性期,364,344,364,344,445
0304,両磐,03,岩手県,合計,674,979,674,979,881
0304,両磐,03,岩手県,高度急性期,0,0,0,0,76
0304,両磐,03,岩手県,急性期,284,589,284,589,278
0304,両磐,03,岩手県,回復期,190,190,190,190,290
0304,両磐,03,岩手県,慢性期,200,200,200,200,237
0305,気仙,03,岩手県,合計,408,408,482,408,370
0305,気仙,03,岩手県,高度急性期,20,20,20,20,44
0305,気仙,03,岩手県,急性期,230,230,244,230,164
0305,気仙,03,岩手県,回復期,60,60,120,60,93
0305,気仙,03,岩手県,慢性期,98,98,98,98,69
0306,釜石,03,岩手県,合計,672,684,699,684,549
0306,釜石,03,岩手県,高度急性期,0,0,0,0,31
0306,釜石,03,岩手県,急性期,196,196,196,196,130
0306,釜石,03,岩手県,回復期,110,154,110,154,165
0306,釜石,03,岩手県,慢性期,366,334,393,334,223
0307,宮古,03,岩手県,合計,552,518,570,518,472
0307,宮古,03,岩手県,高度急性期,0,0,0,0,39
0307,宮古,03,岩手県,急性期,262,260,280,260,143
0307,宮古,03,岩手県,回復期,220,188,220,188,196
0307,宮古,03,岩手県,慢性期,70,70,70,70,94
0308,久慈,03,岩手県,合計,345,345,365,345,354
0308,久慈,03,岩手県,高度急性期,20,20,20,20,43
0308,久慈,03,岩手県,急性期,163,163,166,163,136
0308,久慈,03,岩手県,回復期,100,139,117,139,133
0308,久慈,03,岩手県,慢性期,62,23,62,23,42
0309,二戸,03,岩手県,合計,390,378,390,378,291
0309,二戸,03,岩手県,高度急性期,0,0,0,0,31
0309,二戸,03,岩手県,急性期,283,283,283,283,134
0309,二戸,03,岩手県,回復期,62,50,62,50,91
0309,二戸,03,岩手県,慢性期,45,45,45,45,35
0401,仙南,04,宮城県,合計,1200,1209,1163,1209,1240
0401,仙南,04,宮城県,高度急性期,26,26,26,26,93
0401,仙南,04,宮城県,急性期,438,465,418,465,357
0401,仙南,04,宮城県,回復期,417,395,400,395,456
0401,仙南,04,宮城県,慢性期,319,323,319,323,334
0403,仙台,04,宮城県,合計,12677,12694,12622,12694,13201
0403,仙台,04,宮城県,高度急性期,1920,1963,1912,1963,1798
0403,仙台,04,宮城県,急性期,7110,6844,7027,6844,4999
0403,仙台,04,宮城県,回復期,1580,1718,1627,1718,3899
0403,仙台,04,宮城県,慢性期,2067,2169,2056,2169,2505
0406,大崎・栗原,04,宮城県,合計,2287,2332,2291,2332,1902
0406,大崎・栗原,04,宮城県,高度急性期,44,63,44,63,182
0406,大崎・栗原,04,宮城県,急性期,962,921,966,921,567
0406,大崎・栗原,04,宮城県,回復期,435,473,435,473,669
0406,大崎・栗原,04,宮城県,慢性期,846,875,846,875,484
0409,石巻・登米・気仙沼,04,宮城県,合計,2555,2511,2560,2511,2438
0409,石巻・登米・気仙沼,04,宮城県,高度急性期,46,40,46,40,192
0409,石巻・登米・気仙沼,04,宮城県,急性期,1280,1280,1283,1280,681
0409,石巻・登米・気仙沼,04,宮城県,回復期,504,545,504,545,981
0409,石巻・登米・気仙沼,04,宮城県,慢性期,725,646,727,646,584
0501,大館・鹿角,05,秋田県,合計,1037,993,1098,993,942
0501,大館・鹿角,05,秋田県,高度急性期,0,0,0,0,67
0501,大館・鹿角,05,秋田県,急性期,601,557,595,557,300
0501,大館・鹿角,05,秋田県,回復期,250,250,272,250,296
0501,大館・鹿角,05,秋田県,慢性期,186,186,231,186,279
0502,北秋田,05,秋田県,合計,173,173,228,173,135
0502,北秋田,05,秋田県,高度急性期,0,0,0,0,13
0502,北秋田,05,秋田県,急性期,113,113,170,113,50
0502,北秋田,05,秋田県,回復期,60,60,58,60,57
0502,北秋田,05,秋田県,慢性期,0,0,0,0,15
0503,能代・山本,05,秋田県,合計,935,972,930,972,773
0503,能代・山本,05,秋田県,高度急性期,0,0,0,0,72
0503,能代・山本,05,秋田県,急性期,556,556,611,556,300
0503,能代・山本,05,秋田県,回復期,173,163,127,163,246
0503,能代・山本,05,秋田県,慢性期,206,253,192,253,155
0504,秋田周辺,05,秋田県,合計,4105,4089,4177,4089,4021
0504,秋田周辺,05,秋田県,高度急性期,581,597,609,597,480
0504,秋田周辺,05,秋田県,急性期,2074,2084,2112,2084,1408
0504,秋田周辺,05,秋田県,回復期,473,378,426,378,1120
0504,秋田周辺,05,秋田県,慢性期,977,1030,1030,1030,1013
0505,由利本荘・にかほ,05,秋田県,合計,1081,1056,1143,1056,1149
0505,由利本荘・にかほ,05,秋田県,高度急性期,0,0,0,0,77
0505,由利本荘・にかほ,05,秋田県,急性期,514,508,527,508,374
0505,由利本荘・にかほ,05,秋田県,回復期,119,150,168,150,246
0505,由利本荘・にかほ,05,秋田県,慢性期,448,398,448,398,452
0506,大仙・仙北,05,秋田県,合計,986,1014,1032,1014,847
0506,大仙・仙北,05,秋田県,高度急性期,0,0,0,0,65
0506,大仙・仙北,05,秋田県,急性期,501,501,501,501,308
0506,大仙・仙北,05,秋田県,回復期,222,204,222,204,250
0506,大仙・仙北,05,秋田県,慢性期,263,309,309,309,224
0507,横手,05,秋田県,合計,738,704,805,704,865
0507,横手,05,秋田県,高度急性期,0,0,10,0,97
0507,横手,05,秋田県,急性期,535,501,535,501,360
0507,横手,05,秋田県,回復期,153,153,210,153,192
0507,横手,05,秋田県,慢性期,50,50,50,50,216
0508,湯沢・雄勝,05,秋田県,合計,312,316,339,316,411
0508,湯沢・雄勝,05,秋田県,高度急性期,0,0,0,0,31
0508,湯沢・雄勝,05,秋田県,急性期,180,184,207,184,155
0508,湯沢・雄勝,05,秋田県,回復期,113,108,113,108,137
0508,湯沢・雄勝,05,秋田県,慢性期,19,24,19,24,88
0601,村山,06,山形県,合計,5270,5065,5265,5065,4873
0601,村山,06,山形県,高度急性期,662,612,612,612,523
0601,村山,06,山形県,急性期,2449,2290,2462,2290,1687
0601,村山,06,山形県,回復期,909,893,889,893,1431
0601,村山,06,山形県,慢性期,1250,1270,1302,1270,1232
0602,最上,06,山形県,合計,667,667,667,667,574
0602,最上,06,山形県,高度急性期,10,10,10,10,43
0602,最上,06,山形県,急性期,371,321,371,321,210
0602,最上,06,山形県,回復期,178,228,178,228,236
0602,最上,06,山形県,慢性期,108,108,108,108,85
0603,置賜,06,山形県,合計,1787,1820,1779,1820,1749
0603,置賜,06,山形県,高度急性期,38,38,38,38,159
0603,置賜,06,山形県,急性期,684,687,687,687,610
