published_fy,pref_code,pref_name,area_code,area_name,record_id,function_name,source_literal
R7,01,北海道,0104,札幌,R7-0104-83,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-84,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-87,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-92,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-95,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-96,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-97,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-98,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-99,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-99,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-100,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-100,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-101,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-101,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-102,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-103,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-103,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-104,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-104,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-107,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-108,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-108,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-109,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-110,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-111,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-112,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-116,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-117,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-121,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-122,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-122,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-125,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-125,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-127,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-130,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-132,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-134,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-135,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-136,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-138,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-139,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-140,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-140,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-141,二次救急,二次
