published_fy,pref_code,pref_name,area_code,area_name,demand_category,year,year_label,receipts_per_month
R7,01,北海道,0106,南空知,外来,2045,2045年度（現状投影）,61165.40004431603
R7,01,北海道,0106,南空知,外来,2050,2050年度（現状投影）,54979.00433138328
R7,01,北海道,0107,中空知,在宅（訪問診療）,2024,2024年度,472.33333333333326
R7,01,北海道,0107,中空知,在宅（訪問診療）,2030,2030年度（現状投影）,521.7765610911041
R7,01,北海道,0107,中空知,在宅（訪問診療）,2035,2035年度（現状投影）,532.4022335924037
R7,01,北海道,0107,中空知,在宅（訪問診療）,2040,2040年度（現状投影）,525.5048559934582
R7,01,北海道,0107,中空知,在宅（訪問診療）,2045,2045年度（現状投影）,513.7751690358263
R7,01,北海道,0107,中空知,在宅（訪問診療）,2050,2050年度（現状投影）,465.1218621563163
R7,01,北海道,0107,中空知,外来,2024,2024年度,54672.166666666664
R7,01,北海道,0107,中空知,外来,2030,2030年度（現状投影）,50091.85670768008
R7,01,北海道,0107,中空知,外来,2035,2035年度（現状投影）,45529.793886841464
R7,01,北海道,0107,中空知,外来,2040,2040年度（現状投影）,41144.92093071645
R7,01,北海道,0107,中空知,外来,2045,2045年度（現状投影）,37028.08893144982
R7,01,北海道,0107,中空知,外来,2050,2050年度（現状投影）,33384.557813047926
R7,01,北海道,0108,北空知,在宅（訪問診療）,2024,2024年度,101.66666666666667
R7,01,北海道,0108,北空知,在宅（訪問診療）,2030,2030年度（現状投影）,102.63228597266202
R7,01,北海道,0108,北空知,在宅（訪問診療）,2035,2035年度（現状投影）,100.87611831064477
R7,01,北海道,0108,北空知,在宅（訪問診療）,2040,2040年度（現状投影）,96.47169037685325
R7,01,北海道,0108,北空知,在宅（訪問診療）,2045,2045年度（現状投影）,88.10010983425849
R7,01,北海道,0108,北空知,在宅（訪問診療）,2050,2050年度（現状投影）,77.46331318600184
R7,01,北海道,0108,北空知,外来,2024,2024年度,15911.833333333332
R7,01,北海道,0108,北空知,外来,2030,2030年度（現状投影）,14049.482258611497
R7,01,北海道,0108,北空知,外来,2035,2035年度（現状投影）,12631.041031457453
R7,01,北海道,0108,北空知,外来,2040,2040年度（現状投影）,11268.395184103298
R7,01,北海道,0108,北空知,外来,2045,2045年度（現状投影）,9998.239387370573
R7,01,北海道,0108,北空知,外来,2050,2050年度（現状投影）,8869.358576049399
R7,01,北海道,0109,西胆振,在宅（訪問診療）,2024,2024年度,610.75
R7,01,北海道,0109,西胆振,在宅（訪問診療）,2030,2030年度（現状投影）,727.8769493500165
R7,01,北海道,0109,西胆振,在宅（訪問診療）,2035,2035年度（現状投影）,783.947602954446
R7,01,北海道,0109,西胆振,在宅（訪問診療）,2040,2040年度（現状投影）,820.6125587321719
R7,01,北海道,0109,西胆振,在宅（訪問診療）,2045,2045年度（現状投影）,813.55969748485
R7,01,北海道,0109,西胆振,在宅（訪問診療）,2050,2050年度（現状投影）,721.3344010695826
R7,01,北海道,0109,西胆振,外来,2024,2024年度,110316.83333333333
R7,01,北海道,0109,西胆振,外来,2030,2030年度（現状投影）,102148.52719902006
R7,01,北海道,0109,西胆振,外来,2035,2035年度（現状投影）,94061.74664791528
R7,01,北海道,0109,西胆振,外来,2040,2040年度（現状投影）,85917.16732834998
R7,01,北海道,0109,西胆振,外来,2045,2045年度（現状投影）,78529.9858846836
R7,01,北海道,0109,西胆振,外来,2050,2050年度（現状投影）,72177.50874370715
R7,01,北海道,0110,東胆振,在宅（訪問診療）,2024,2024年度,793.75
R7,01,北海道,0110,東胆振,在宅（訪問診療）,2030,2030年度（現状投影）,956.0191017753302
R7,01,北海道,0110,東胆振,在宅（訪問診療）,2035,2035年度（現状投影）,1072.5238733458075
R7,01,北海道,0110,東胆振,在宅（訪問診療）,2040,2040年度（現状投影）,1181.3512468185097
R7,01,北海道,0110,東胆振,在宅（訪問診療）,2045,2045年度（現状投影）,1216.3577162209542
R7,01,北海道,0110,東胆振,在宅（訪問診療）,2050,2050年度（現状投影）,1156.1245281258625
R7,01,北海道,0110,東胆振,外来,2024,2024年度,128305.9166666667
R7,01,北海道,0110,東胆振,外来,2030,2030年度（現状投影）,125697.7105710442
R7,01,北海道,0110,東胆振,外来,2035,2035年度（現状投影）,121345.19978114229
